LOC,Species,trail.location,point_name,lat,long,lat_long,notes
CHE,Amsinckia intermedia,,CHE20-06185Z,34.15316,-118.73315,"(34.15316, -118.73315)",
CHE,Artemisia californica,Chesboro Canyon,CHE20-061820Z,34.17714,-118.72519,"(34.17714, -118.72519)",
CHE,Artemisia douglasiana,Chesboro Canyon,CHE20-06180Z,,,,Roc/ Imelda at Y
CHE,Baccharis pilularis,Chesboro Canyon,CHE20-061836Z,34.19358,-118.73021,"(34.19358, -118.73021)",
CHE,Calandrinia breweri,,CHE20-06186Z,34.15316,-118.73315,"(34.15316, -118.73315)",
CHE,Calochortus catalinae,Chesboro Canyon,CHE20-061816Z,34.17115,-118.74243,"(34.17115, -118.74243)",
CHE,Calochortus catalinae,Chesboro Canyon,CHE20-061825Z,34.181,-118.72734,"(34.181, -118.72734)",
CHE,Calochortus catalinae,Chesboro Canyon,CHE20-061827Z,34.18239,-118.72797,"(34.18239, -118.72797)",
CHE,Calochortus catalinae,Chesboro Canyon,CHE20-061831Z,34.18502,-118.73034,"(34.18502, -118.73034)",
CHE,Calystigia macrostigea,,CHE20-061810Z,34.153471,-118.732255,"(34.153471, -118.732255)",
CHE,Deinandra fasciculata,Chesboro Canyon,CHE20-061819Z,34.17586,-118.72495,"(34.17586, -118.72495)",
CHE,Deinandra fasciculata,Chesboro Canyon,CHE20-061826Z,34.18239,-118.72797,"(34.18239, -118.72797)",
CHE,Diplacus longiflorus,Palo Comado,CHE20-061845Z,34.20695,-118.75312,"(34.20695, -118.75312)",
CHE,Diplostema capitatum,,CHE20-06183Z,34.145327,-118.73071,"(34.145327, -118.73071)",
CHE,Ehrendorferia ochroleuca,Palo Comado,CHE20-061842Z,34.19712,-118.74823,"(34.19712, -118.74823)",
CHE,Elymus condensatus,Chesboro Canyon,CHE20-061837Z,34.19358,-118.73021,"(34.19358, -118.73021)",
CHE,Elymus glacus,Chesboro Canyon,CHE20-061840Z,34.19358,-118.73021,"(34.19358, -118.73021)",
CHE,Emmenanthe penduliflora,,CHE20-06187Z,34.15316,-118.73315,"(34.15316, -118.73315)",
CHE,Encelia californica,,CHE20-06181Z,34.144468,-118.730013,"(34.144468, -118.730013)",
CHE,Epilobium canum,Chesboro Canyon,CHE20-061838Z,34.19358,-118.73021,"(34.19358, -118.73021)",
CHE,Ericameria linearifolia,Chesboro Canyon,CHE20-06180Z,,,,antonio
CHE,Ericameria palmeri,upper las virgenes,CHE20-06180Z,,,,
CHE,Eriogonum cinereum,,CHE20-06182Z,34.144827,-118.731353,"(34.144827, -118.731353)",
CHE,Eriophyllum confertiflorum,Palo Comado,CHE20-061844Z,34.20351,-118.74961,"(34.20351, -118.74961)",
CHE,Eschscholzia californica,,CHE20-06184Z,34.1531,-118.7327,"(34.1531, -118.7327)",
CHE,Hazardia squarrosa var grindelioides,throughout canyon,CHE20-06180Z,,,,
CHE,Isocoma menziesii,Chesboro Canyon,CHE20-061817Z,34.17115,-118.74243,"(34.17115, -118.74243)",
CHE,Isocoma menziesii,Chesboro Canyon,CHE20-061828Z,34.18239,-118.72797,"(34.18239, -118.72797)",
CHE,Juglans californica,Chesboro Canyon,CHE20-061833Z,34.1879,-118.72524,"(34.1879, -118.72524)",
CHE,Lessingia/Corethrogyne filaginifolia,Chesboro Canyon,CHE20-061815Z,34.17115,-118.74243,"(34.17115, -118.74243)",
CHE,Lessingia/Corethrogyne filaginifolia,Chesboro Canyon,CHE20-061824Z,34.181,-118.72734,"(34.181, -118.72734)",
CHE,Lupinus bicolor,,CHE20-06188Z,34.153205,-118.732725,"(34.153205, -118.732725)",
CHE,Lupinus succulentus,,CHE20-06189Z,34.153205,-118.732725,"(34.153205, -118.732725)",
CHE,Malacothamnus fasciculatus,Chesboro Canyon,CHE20-061818Z,34.17115,-118.74243,"(34.17115, -118.74243)",
CHE,Malacothamnus fasciculatus,Chesboro Canyon,CHE20-061832Z,34.18502,-118.73034,"(34.18502, -118.73034)",
CHE,Malacothrix saxatilis,Chesboro Canyon,CHE20-061822Z,34.17815,-118.72563,"(34.17815, -118.72563)",
CHE,Malacothrix saxatilis,Chesboro Canyon,CHE20-061830Z,34.18502,-118.73034,"(34.18502, -118.73034)",
CHE,Melica imperfecta,Chesboro Canyon,CHE20-061821Z,34.17714,-118.72519,"(34.17714, -118.72519)",
CHE,Mimulus cardinalis,Palo Comado,CHE20-061843Z,34.19712,-118.74823,"(34.19712, -118.74823)",
CHE,Penstemon centranthifolius,Palo Comado,CHE20-061823Z,34.17939,-118.74444,"(34.17939, -118.74444)",
