taxon,common_name,lifeform,status,family,start_bloom,end_bloom,month
Achillea millefolium,Yarrow,perennial herb,native,Asteraceae,Apr,Aug,Apr
Achillea millefolium,Yarrow,perennial herb,native,Asteraceae,Apr,Aug,May
Achillea millefolium,Yarrow,perennial herb,native,Asteraceae,Apr,Aug,Jun
Achillea millefolium,Yarrow,perennial herb,native,Asteraceae,Apr,Aug,Jul
Achillea millefolium,Yarrow,perennial herb,native,Asteraceae,Apr,Aug,Aug
Acmispon glaber,Deerweed,perennial herb,native,Fabaceae,Apr,Jul,Apr
Acmispon glaber,Deerweed,perennial herb,native,Fabaceae,Apr,Jul,May
Acmispon glaber,Deerweed,perennial herb,native,Fabaceae,Apr,Jul,Jun
Acmispon glaber,Deerweed,perennial herb,native,Fabaceae,Apr,Jul,Jul
Anemopsis californica,Yerba mansa,perennial herb,native,Saururaceae,Feb,Mar,Feb
Anemopsis californica,Yerba mansa,perennial herb,native,Saururaceae,Feb,Mar,Mar
Artemisia californica,Coastal sage brush,shrub,native,Asteraceae,May,Oct,May
Artemisia californica,Coastal sage brush,shrub,native,Asteraceae,May,Oct,Jun
Artemisia californica,Coastal sage brush,shrub,native,Asteraceae,May,Oct,Jul
Artemisia californica,Coastal sage brush,shrub,native,Asteraceae,May,Oct,Aug
Artemisia californica,Coastal sage brush,shrub,native,Asteraceae,May,Oct,Sep
Artemisia californica,Coastal sage brush,shrub,native,Asteraceae,May,Oct,Oct
Artemisia douglasiana,California mugwort,perennial herb,native,Asteraceae,Apr,Oct,Apr
Artemisia douglasiana,California mugwort,perennial herb,native,Asteraceae,Apr,Oct,May
Artemisia douglasiana,California mugwort,perennial herb,native,Asteraceae,Apr,Oct,Jun
Artemisia douglasiana,California mugwort,perennial herb,native,Asteraceae,Apr,Oct,Jul
Artemisia douglasiana,California mugwort,perennial herb,native,Asteraceae,Apr,Oct,Aug
Artemisia douglasiana,California mugwort,perennial herb,native,Asteraceae,Apr,Oct,Sep
Artemisia douglasiana,California mugwort,perennial herb,native,Asteraceae,Apr,Oct,Oct
Asclepias eriocarpa,Indian milkweed,perennial herb,native,Apocynaceae,Jun,Aug,Jun
Asclepias eriocarpa,Indian milkweed,perennial herb,native,Apocynaceae,Jun,Aug,Jul
Asclepias eriocarpa,Indian milkweed,perennial herb,native,Apocynaceae,Jun,Aug,Aug
Asclepias fascicularis,narrow leaf milkweed,perennial herb,native,Apocynaceae,Jun,Sep,Jun
Asclepias fascicularis,narrow leaf milkweed,perennial herb,native,Apocynaceae,Jun,Sep,Jul
Asclepias fascicularis,narrow leaf milkweed,perennial herb,native,Apocynaceae,Jun,Sep,Aug
Asclepias fascicularis,narrow leaf milkweed,perennial herb,native,Apocynaceae,Jun,Sep,Sep
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,Jan
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,Feb
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,Mar
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,Apr
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,May
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,Jun
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,Jul
Astragalus brauntonii,Braunton's milk vetch,perennial herb,native,Fabaceae,Jan,Aug,Aug
Astragalus trichopodus,Santa barbara milk vetch,perennial herb,native,Fabaceae,Feb,Jun,Feb
Astragalus trichopodus,Santa barbara milk vetch,perennial herb,native,Fabaceae,Feb,Jun,Mar
Astragalus trichopodus,Santa barbara milk vetch,perennial herb,native,Fabaceae,Feb,Jun,Apr
Astragalus trichopodus,Santa barbara milk vetch,perennial herb,native,Fabaceae,Feb,Jun,May
Astragalus trichopodus,Santa barbara milk vetch,perennial herb,native,Fabaceae,Feb,Jun,Jun
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Jan
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Feb
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Mar
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Apr
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,May
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Jun
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Jul
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Aug
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Sep
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Oct
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Nov
Baccharis pilularis,Coyote brush,shrub,native,Asteraceae,Jan,Dec,Dec
Baccharis salicifolia,Mule fat,shrub,native,Asteraceae,May,Oct,May
Baccharis salicifolia,Mule fat,shrub,native,Asteraceae,May,Oct,Jun
Baccharis salicifolia,Mule fat,shrub,native,Asteraceae,May,Oct,Jul
Baccharis salicifolia,Mule fat,shrub,native,Asteraceae,May,Oct,Aug
Baccharis salicifolia,Mule fat,shrub,native,Asteraceae,May,Oct,Sep
Baccharis salicifolia,Mule fat,shrub,native,Asteraceae,May,Oct,Oct
Calandrinia menziesii,Red maids,annual herb,native,Montiaceae,Feb,May,Feb
Calandrinia menziesii,Red maids,annual herb,native,Montiaceae,Feb,May,Mar
Calandrinia menziesii,Red maids,annual herb,native,Montiaceae,Feb,May,Apr
Calandrinia menziesii,Red maids,annual herb,native,Montiaceae,Feb,May,May
Calochortus catalinae,Catalina mariposa,perennial herb (bulb),native,Liliaceae,Mar,Jun,Mar
Calochortus catalinae,Catalina mariposa,perennial herb (bulb),native,Liliaceae,Mar,Jun,Apr
Calochortus catalinae,Catalina mariposa,perennial herb (bulb),native,Liliaceae,Mar,Jun,May
Calochortus catalinae,Catalina mariposa,perennial herb (bulb),native,Liliaceae,Mar,Jun,Jun
Corethrogyne filaginifolia,Common sandaster,perennial herb,native,Asteraceae,Jun,Oct,Jun
Corethrogyne filaginifolia,Common sandaster,perennial herb,native,Asteraceae,Jun,Oct,Jul
Corethrogyne filaginifolia,Common sandaster,perennial herb,native,Asteraceae,Jun,Oct,Aug
Corethrogyne filaginifolia,Common sandaster,perennial herb,native,Asteraceae,Jun,Oct,Sep
Corethrogyne filaginifolia,Common sandaster,perennial herb,native,Asteraceae,Jun,Oct,Oct
Deinandra fasciculata,Clustered tarweed,annual herb,native,Asteraceae,May,Oct,May
Deinandra fasciculata,Clustered tarweed,annual herb,native,Asteraceae,May,Oct,Jun
Deinandra fasciculata,Clustered tarweed,annual herb,native,Asteraceae,May,Oct,Jul
Deinandra fasciculata,Clustered tarweed,annual herb,native,Asteraceae,May,Oct,Aug
Deinandra fasciculata,Clustered tarweed,annual herb,native,Asteraceae,May,Oct,Sep
Deinandra fasciculata,Clustered tarweed,annual herb,native,Asteraceae,May,Oct,Oct
Diplacus longiflorus,southern bush monkeyflower,annual herb,native,Phrymaceae,Mar,Aug,Mar
Diplacus longiflorus,southern bush monkeyflower,annual herb,native,Phrymaceae,Mar,Aug,Apr
Diplacus longiflorus,southern bush monkeyflower,annual herb,native,Phrymaceae,Mar,Aug,May
Diplacus longiflorus,southern bush monkeyflower,annual herb,native,Phrymaceae,Mar,Aug,Jun
Diplacus longiflorus,southern bush monkeyflower,annual herb,native,Phrymaceae,Mar,Aug,Jul
Diplacus longiflorus,southern bush monkeyflower,annual herb,native,Phrymaceae,Mar,Aug,Aug
Ehrendorferia ochroleuca,Yellow bleeding heart,perennial herb,native,Papaveraceae,May,Jul,May
Ehrendorferia ochroleuca,Yellow bleeding heart,perennial herb,native,Papaveraceae,May,Jul,Jun
