Taxon,TSN,Collecting,Calflora-Records,Common Name,Dispersal,Lifeform,Status,Family,start-bloom,end-bloom,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,
Achillea millefolium,,X,33 records,Yarrow,,Perennial herb,native,ASTERACEAE,Apr,Aug,,,,X,X,X,X,X,,,,,,,,,,,,
Acmispon glaber,,X,121 records,Deerweed,,Perennial herb,native,FABACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Anemopsis californica,,X,11 records,Yerba mansa,,Perennial herb,native,SAURURACEAE,Feb,Mar,,X,X,,,,,,,,,,,,,,,,,
Artemisia californica,,X,135 records,Coastal sage brush,,Shrub,native,ASTERACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Artemisia douglasiana,,X,90 records,California mugwort,,Perennial herb,native,ASTERACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Asclepias eriocarpa,,X,15 records,Indian milkweed,,Perennial herb,native,APOCYNACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Asclepias fascicularis,,X,91 records,narrow leaf milkweed,,Perennial herb,native,APOCYNACEAE,Jun,Sep,,,,,,X,X,X,X,,,,,,,,,,,
Astragalus brauntonii,,X,21 records,Braunton's milk vetch,,Perennial herb,native,FABACEAE,Jan,Aug,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Astragalus trichopodus,,X,43 records,Santa barbara milk vetch,,Perennial herb,native,FABACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Baccharis pilularis,,X,91 records,Coyote brush,,Shrub,native,ASTERACEAE,Jan,Dec,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Baccharis salicifolia,,X,106 records,Mule fat,,Shrub,native,ASTERACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Calandrinia menziesii,,X,39 records,Red maids,,Annual herb,native,MONTIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Calochortus catalinae,,X,182 records,Catalina mariposa,,Perennial herb (bulb),native,LILIACEAE,Mar,Jun,,,X,X,X,X,,,,,,,,,,,,,,
Corethrogyne filaginifolia,,X,143 records,Common sandaster,,Perennial herb,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Deinandra fasciculata,,X,99 records,Clustered tarweed,,Annual herb,native,ASTERACEAE,May,Oct,,,,,X,X,X,X,X,X,,,,,,,,,,
Diplacus longiflorus,,X,58 records,southern bush monkeyflower,,Annual herb,native,PHRYMACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Ehrendorferia ochroleuca,,X,73 records,Yellow bleeding heart,,Perennial herb,native,PAPAVERACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Elymus condensatus,,X,98 records,Giant wild rye,,Perennial grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Elymus glaucus,,X,48 records,Blue wildrye,,Perennial grass,native,POACEAE,May,Jul,,,,,X,X,X,,,,,,,,,,,,,
Elymus triticoides,,X,2 records,Beardless wild rye,,Perennial grass,native,POACEAE,Jun,Jul,,,,,,X,X,,,,,,,,,,,,,
Encelia californica,,X,127 records,Bush sunflower,,Shrub,native,ASTERACEAE,Jan,May,X,X,X,X,X,,,,,,,,,,,,,,,
Epilobium canum,,X,72 records,California fuchsia,,Perennial herb,native,ONAGRACEAE,Mar,Sep,,,X,X,X,X,X,X,X,,,,,,,,,,,
Ericameria palmeri,,X,14 records,Palmer goldenweed,,Shrub,native,ASTERACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Eriogonum cinereum,,X,171 records,Coastal buckwheat,,Shrub,native,POLYGONACEAE,Apr,Sep,,,,X,X,X,X,X,X,,,,,,,,,,,
Eriogonum elongatum,,X,32 records,Longstem buckwheat,,Perennial herb,native,POLYGONACEAE,Aug,Nov,,,,,,,,X,X,X,X,,,,,,,,,
Eriogonum fasciculatum,,X,138 records,California buckwheat,,Shrub,native,POLYGONACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Eriophyllum confertiflorum,,X,137 records,Golden yarrow,,Shrub,native,ASTERACEAE,Apr,Aug,,,,X,X,X,X,X,,,,,,,,,,,,
Erythranthe cardinalis,,X,48 records,Cardinal monkey flower,,Perennial herb,native,PHRYMACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Eschscholzia caespitosa,,X,40 records,Tufted eschscholzia,,Annual herb,native,PAPAVERACEAE,Feb,Sep,,X,X,X,X,X,X,X,X,,,,,,,,,,,
Eschscholzia californica,,X,87 records,California poppy,,"Annual, Perennial herb",native,PAPAVERACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Frangula californica,,X,61 records,California coffeeberry,,Shrub,native,RHAMNACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Fraxinus dipetala,,X,43 records,Two petaled ash,,"Tree, Shrub",native,OLEACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Grindelia camporum,,X,32 records,Gumweed,,Perennial herb,native,ASTERACEAE,Apr,Oct,,,,X,X,X,X,X,X,X,,,,,,,,,,
Hazardia squarrosa,,X,59 records,Saw toothed goldenbush,,Shrub,native,ASTERACEAE,Jun,Oct,,,,,,X,X,X,X,X,,,,,,,,,,
Helianthus gracilentus,,X,41 records,Slender sunflower,,Perennial herb,native,ASTERACEAE,May,Sep,,,,,X,X,X,X,X,,,,,,,,,,,
Hesperoyucca whipplei,,X,153 records,Chaparral yucca,,Shrub,native,AGAVACEAE,Apr,Jun,,,,X,X,X,,,,,,,,,,,,,,
Heteromeles arbutifolia,,X,142 records,Toyon,,Shrub,native,ROSACEAE,Jun,Aug,,,,,,X,X,X,,,,,,,,,,,,
Isocoma menziesii,,X,32 records,White flowered goldenbush,,Shrub,native,ASTERACEAE,Apr,Nov,,,,X,X,X,X,X,X,X,X,,,,,,,,,
Juglans californica,,X,123 records,Southern california black walnut,,Tree,native,JUGLANDACEAE,Apr,May,,,,X,X,,,,,,,,,,,,,,,
Juncus patens,,X,3 records,Rush,,Perennial grasslike herb,native,JUNCACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
Keckiella cordifolia,,X,145 records,Heart leaved keckiella,,Shrub,native,PLANTAGINACEAE,Mar,Aug,,,X,X,X,X,X,X,,,,,,,,,,,,
Lasthenia californica,,X,20 records,Goldfields,,Annual herb,native,ASTERACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Lasthenia californica ssp. californica,,,1 record,California goldfields,,Annual herb,native,ASTERACEAE,Feb,Jun,,X,X,X,X,X,,,,,,,,,,,,,,
Lepidospartum squamatum,,X,25 records,Scalebroom,,Shrub,native,ASTERACEAE,Aug,Nov,,,,,,,,X,X,X,X,,,,,,,,,
Lonicera subspicata,,X,48 records,Southern honeysuckle,,Shrub,native,CAPRIFOLIACEAE,May,Aug,,,,,X,X,X,X,,,,,,,,,,,,
Lupinus bicolor,,X,56 records,Lupine,,"Annual, Perennial herb",native,FABACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Malacothamnus fasciculatus,,X,603 records,Chaparral bush mallow,,Shrub,native,MALVACEAE,Apr,Jul,,,,X,X,X,X,,,,,,,,,,,,,
Malacothrix saxatilis,,X,70 records,Cliff aster,,Perennial herb,native,ASTERACEAE,Jun,Dec,,,,,,X,X,X,X,X,X,,,,,,,,,
Malosma laurina,,X,178 records,Laurel sumac,,"Tree, Shrub",native,ANACARDIACEAE,Feb,May,,X,X,X,X,,,,,,,,,,,,,,,
Marah macrocarpa,,X,136 records,Chilicothe,,"Perennial herb, Vine",native,CUCURBITACEAE,Jan,Apr,X,X,X,X,,,,,,,,,,,,,,,,
Melica imperfecta,,X,76 records,Coast range melic,,Perennial grass,native,POACEAE,Mar,May,,,X,X,X,,,,,,,,,,,,,,,
Muhlenbergia rigens,,X,7 records,Deergrass,,Perennial grass,native,POACEAE,May,Jun,,,,,X,X,,,,,,,,,,,,,,
